"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q21203","","102911","أروبا","আরুবা","Aruba","Aruba","Aruba","Aruba","Αρούμπα","अरूबा","Aruba","Aruba","Aruba","アルバ","아루바","Aruba","Aruba","Aruba","Аруба","Aruba","Aruba","Aruba","阿魯巴"
"Q347","","37468","ليختنشتاين","লিশটেনস্টাইন","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Λίχτενσταϊν","लिक्टेन्स्टाइन","Liechtenstein","Liechtenstein","Liechtenstein","リヒテンシュタイン","리히텐슈타인","Liechtenstein","Liechtenstein","Liechtenstein","Лихтенштейн","Liechtenstein","Lihtenştayn","Liechtenstein","列支敦斯登"
"Q23792","","","فلسطين","ফিলিস্তিন অঞ্চল","Palästina","Palestine","Palestina","Palestine","Παλαιστίνη","फ़िलिस्तीनी राज्यक्षेत्र","Palesztina","Palestina","Palestina","パレスチナ","팔레스타인","Palestina","Palestyna","Palestina","Палестина","Palestina","Filistin","Palestine","巴勒斯坦"
"Q23681","","313626","قبرص الشمالية","তুর্কী উত্তর সাইপ্রাস প্রজাতন্ত্র","Türkische Republik Nordzypern","Turkish Republic of Northern Cyprus","República Turca del Norte de Chipre","Chypre du Nord","Τουρκική Δημοκρατία της Βόρειας Κύπρου","उत्तरी साइप्रस","Észak-Ciprus","Republik Turki Siprus Utara","Cipro del Nord","北キプロス・トルコ共和国","북키프로스","Noord-Cyprus","Cypr Północny","República Turca de Chipre do Norte","Турецкая Республика Северного Кипра","Nordcypern","Kuzey Kıbrıs Türk Cumhuriyeti","Bắc Síp","北賽普勒斯土耳其共和國"
"Q399","","2976566","أرمينيا","আর্মেনিয়া","Armenien","Armenia","Armenia","Arménie","Αρμενία","आर्मीनिया","Örményország","Armenia","Armenia","アルメニア","아르메니아","Armenië","Armenia","Arménia","Армения","Armenien","Ermenistan","Armenia","亞美尼亞"
"Q26273","","37132","سينت مارتن","সিন্ট মার্টেন","Sint Maarten","Sint Maarten","Sint Maarten","Saint-Martin","Άγιος Μαρτίνος","सिंट मार्टेन","Sint Maarten","Sint Maarten","Sint Maarten","シント・マールテン","신트마르턴","Sint Maarten","Sint Maarten","São Martinho","Синт-Мартен","Sint Maarten","Sint Maarten","Sint Maarten","荷屬聖馬丁"
"Q25279","","160337","كوراساو","কিউরাসাও","Curaçao","Curaçao","Curazao","Curaçao","Κουρασάο","कुराकाओ","Curaçao","Curaçao","Curaçao","キュラソー島","퀴라소","Curaçao","Curaçao","Curaçao","Кюрасао","Curaçao","Curaçao","Curaçao","库拉索"
"Q403","","7041599","صربيا","সার্বিয়া","Serbien","Serbia","Serbia","Serbie","Σερβία","सर्बिया","Szerbia","Serbia","Serbia","セルビア","세르비아","Servië","Serbia","Sérvia","Сербия","Serbien","Sırbistan","Serbia","塞尔维亚"
"Q30971","","275918","بولينزيا الفرنسية","ফরাসি পলিনেশিয়া","Französisch-Polynesien","French Polynesia","Polinesia Francesa","Polynésie française","Γαλλική Πολυνησία","फ़्रान्सीसी पॉलिनेशिया","Francia Polinézia","Polinesia Perancis","Polinesia Francese","フランス領ポリネシア","프랑스령 폴리네시아","Frans-Polynesië","Polinezja Francuska","Polinésia Francesa","Французская Полинезия","Franska Polynesien","Fransız Polinezyası","Polynésie thuộc Pháp","法屬玻里尼西亞"
"Q408","","23401892","أستراليا","অস্ট্রেলিয়া","Australien","Australia","Australia","Australie","Αυστραλία","ऑस्ट्रेलिया","Ausztrália","Australia","Australia","オーストラリア","오스트레일리아","Australië","Australia","Austrália","Австралия","Australien","Avustralya","Úc","澳大利亚"
"Q33788","","268767","كاليدونيا الجديدة","নিউ ক্যালিডোনিয়া","Neukaledonien","New Caledonia","Nueva Caledonia","Nouvelle-Calédonie","Νέα Καληδονία","नया कैलेडोनिया","Új-Kaledónia","Kaledonia Baru","Nuova Caledonia","ニューカレドニア","누벨칼레도니","Nieuw-Caledonië","Nowa Kaledonia","Nova Caledónia","Новая Каледония","Nya Kaledonien","Yeni Kaledonya","Nouvelle-Calédonie","新喀里多尼亞"
