"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q21203","","102911","أروبا","আরুবা","Aruba","Aruba","Aruba","Aruba","Αρούμπα","अरूबा","Aruba","Aruba","Aruba","アルバ","아루바","Aruba","Aruba","Aruba","Аруба","Aruba","Aruba","Aruba","阿魯巴"
"Q18221","","33098","جزر توركس وكايكوس","টার্কস্‌ ও কেইকোস দ্বীপপুঞ্জ","Turks- und Caicosinseln","Turks and Caicos Islands","Islas Turcas y Caicos","îles Turques-et-Caïques","Τερκ και Κάικος","तुर्क और केकोस द्वीपसमूह","Turks- és Caicos-szigetek","Kepulauan Turks dan Caicos","Turks e Caicos","タークス・カイコス諸島","터크스 케이커스 제도","Turks- en Caicoseilanden","Turks i Caicos","Turks e Caicos","Тёркс и Кайкос","Turks- och Caicosöarna","Turks ve Caicos Adaları","Quần đảo Turks và Caicos","特克斯和凯科斯群岛"
"Q403","","7041599","صربيا","সার্বিয়া","Serbien","Serbia","Serbia","Serbie","Σερβία","सर्बिया","Szerbia","Serbia","Serbia","セルビア","세르비아","Servië","Serbia","Sérvia","Сербия","Serbien","Sırbistan","Serbia","塞尔维亚"
"Q23681","","313626","قبرص الشمالية","তুর্কী উত্তর সাইপ্রাস প্রজাতন্ত্র","Türkische Republik Nordzypern","Turkish Republic of Northern Cyprus","República Turca del Norte de Chipre","Chypre du Nord","Τουρκική Δημοκρατία της Βόρειας Κύπρου","उत्तरी साइप्रस","Észak-Ciprus","Republik Turki Siprus Utara","Cipro del Nord","北キプロス・トルコ共和国","북키프로스","Noord-Cyprus","Cypr Północny","República Turca de Chipre do Norte","Турецкая Республика Северного Кипра","Nordcypern","Kuzey Kıbrıs Türk Cumhuriyeti","Bắc Síp","北賽普勒斯土耳其共和國"
"Q408","","23401892","أستراليا","অস্ট্রেলিয়া","Australien","Australia","Australia","Australie","Αυστραλία","ऑस्ट्रेलिया","Ausztrália","Australia","Australia","オーストラリア","오스트레일리아","Australië","Australia","Austrália","Австралия","Australien","Avustralya","Úc","澳大利亚"
"Q23792","","","فلسطين","ফিলিস্তিন অঞ্চল","Palästina","Palestine","Palestina","Palestine","Παλαιστίνη","फ़िलिस्तीनी राज्यक्षेत्र","Palesztina","Palestina","Palestina","パレスチナ","팔레스타인","Palestina","Palestyna","Palestina","Палестина","Palestina","Filistin","Palestine","巴勒斯坦"
"Q414","","43417000","الأرجنتين","আর্জেন্টিনা","Argentinien","Argentina","Argentina","Argentine","Αργεντινή","अर्जेण्टीना","Argentína","Argentina","Argentina","アルゼンチン","아르헨티나","Argentinië","Argentyna","Argentina","Аргентина","Argentina","Arjantin","Argentina","阿根廷"
"Q25279","","160337","كوراساو","কিউরাসাও","Curaçao","Curaçao","Curazao","Curaçao","Κουρασάο","कुराकाओ","Curaçao","Curaçao","Curaçao","キュラソー島","퀴라소","Curaçao","Curaçao","Curaçao","Кюрасао","Curaçao","Curaçao","Curaçao","库拉索"
"Q26273","","37132","سينت مارتن","সিন্ট মার্টেন","Sint Maarten","Sint Maarten","Sint Maarten","Saint-Martin","Άγιος Μαρτίνος","सिंट मार्टेन","Sint Maarten","Sint Maarten","Sint Maarten","シント・マールテン","신트마르턴","Sint Maarten","Sint Maarten","São Martinho","Синт-Мартен","Sint Maarten","Sint Maarten","Sint Maarten","荷屬聖馬丁"
"Q30971","","275918","بولينزيا الفرنسية","ফরাসি পলিনেশিয়া","Französisch-Polynesien","French Polynesia","Polinesia Francesa","Polynésie française","Γαλλική Πολυνησία","फ़्रान्सीसी पॉलिनेशिया","Francia Polinézia","Polinesia Perancis","Polinesia Francese","フランス領ポリネシア","프랑스령 폴리네시아","Frans-Polynesië","Polinezja Francuska","Polinésia Francesa","Французская Полинезия","Franska Polynesien","Fransız Polinezyası","Polynésie thuộc Pháp","法屬玻里尼西亞"
"Q33788","","268767","كاليدونيا الجديدة","নিউ ক্যালিডোনিয়া","Neukaledonien","New Caledonia","Nueva Caledonia","Nouvelle-Calédonie","Νέα Καληδονία","नया कैलेडोनिया","Új-Kaledónia","Kaledonia Baru","Nuova Caledonia","ニューカレドニア","누벨칼레도니","Nieuw-Caledonië","Nowa Kaledonia","Nova Caledónia","Новая Каледония","Nya Kaledonien","Yeni Kaledonya","Nouvelle-Calédonie","新喀里多尼亞"
"Q419","","30375603","بيرو","পেরু","Peru","Peru","Perú","Pérou","Περού","पेरू","Peru","Peru","Perù","ペルー","페루","Peru","Peru","Peru","Перу","Peru","Peru","Peru","秘鲁"
"Q34617","","6057","سان بيير وميكلون","সাঁ পিয়ের ও মিক‌লোঁ","Saint-Pierre und Miquelon","Saint Pierre and Miquelon","San Pedro y Miquelón","Saint-Pierre-et-Miquelon","Σαιν Πιερ και Μικελόν","साँ-प्येर और मीकेलों","Saint-Pierre és Miquelon","Saint Pierre dan Miquelon","Saint-Pierre e Miquelon","サンピエール島・ミクロン島","생피에르 미클롱","Saint-Pierre en Miquelon","Saint-Pierre i Miquelon","Saint-Pierre e Miquelon","Сен-Пьер и Микелон","Saint-Pierre och Miquelon","Saint Pierre ve Miquelon","Saint-Pierre và Miquelon","圣皮埃尔和密克隆群岛"
"Q34754","","4500000","صوماليلاند","সোমালিল্যান্ড","Somaliland","Somaliland","Somalilandia","Somaliland","Σομαλιλάνδη","सोमालीदेश","Szomáliföld","Somaliland","Somaliland","ソマリランド","소말릴란드","Somaliland","Somaliland","Somalilândia","Сомалиленд","Somaliland","Somaliland","Somaliland","索马里兰"
"Q423","","24895480","كوريا الشمالية","উত্তর কোরিয়া","Nordkorea","North Korea","Corea del Norte","Corée du Nord","Βόρεια Κορέα","उत्तर कोरिया","Észak-Korea","Korea Utara","Corea del Nord","朝鮮民主主義人民共和国","조선민주주의인민공화국","Noord-Korea","Korea Północna","Coreia do Norte","Корейская Народно-Демократическая Республика","Nordkorea","Kuzey Kore","Cộng hòa Dân chủ Nhân dân Triều Tiên","朝鲜民主主义人民共和国"
"Q116970","","","مقاطعة الأمم المتحدة العازلة في قبرص","সাইপ্রাস জাতিসংঘ বাফার জোন","UN-Pufferzone in Zypern","United Nations Buffer Zone in Cyprus","Línea Verde","ligne verte","Πράσινη Γραμμή","संयुक्त राष्ट्र बफर क्षेत्र","Zöld vonal","United Nations Buffer Zone di Cyprus","Linea Verde","グリーンライン","유엔 키프로스 완충 지대","VN-Bufferzone","Zielona linia","Linha Verde","Зелёная линия","FN:s buffertzon på Cypern","Yeşil Hat","Vùng đệm Liên Hiệp Quốc ở Cộng hòa Síp","賽普勒斯聯合國緩衝區"
"Q35672","","54","جزر بيتكيرن","পীটকেয়ার্ন দ্বীপপুঞ্জ","Pitcairninseln","Pitcairn Islands","Islas Pitcairn","Îles Pitcairn","Νήσοι Πίτκερν","पिटकेम द्वीप समूह","Pitcairn-szigetek","Kepulauan Pitcairn","Isole Pitcairn","ピトケアン諸島","핏케언 제도","Pitcairneilanden","Pitcairn","Ilhas Pitcairn","Острова Питкэрн","Pitcairnöarna","Pitcairn Adaları","Quần đảo Pitcairn","皮特凯恩群岛"
"Q126125","","35684","تجمع سان مارتين","","Saint-Martin","Saint Martin","San Martín","Saint-Martin","Άγιος Μαρτίνος","","Saint-Martin","Saint Martin","Saint-Martin","サン・マルタン","생마르탱","Sint-Maarten","Saint-Martin","São Martinho","Сен-Мартен","Saint Martin","Saint Martin","Saint-Martin","法屬聖馬丁"
"Q424","","15135169","كمبوديا","কম্বোডিয়া","Kambodscha","Cambodia","Camboya","Cambodge","Καμπότζη","कम्बोडिया","Kambodzsa","Kamboja","Cambogia","カンボジア","캄보디아","Cambodja","Kambodża","Camboja","Камбоджа","Kambodja","Kamboçya","Campuchia","柬埔寨"
"Q129003","","196","أراض فرنسية جنوبية وأنتارتيكية","","Französische Süd- und Antarktisgebiete","French Southern and Antarctic Lands","Tierras Australes y Antárticas Francesas","Terres australes et antarctiques françaises","Γαλλικά Νότια και Ανταρκτικά Εδάφη","दक्षिण फ्रांसीसी और अंटार्कटिक लैंड","Francia déli és antarktiszi területek","Daratan Selatan dan Antarktika Perancis","Terre australi e antartiche francesi","フランス領南方・南極地域","프랑스령 남방 및 남극","Franse Zuidelijke en Antarctische Gebieden","Francuskie Terytoria Południowe i Antarktyczne","Terras Austrais e Antárticas Francesas","Французские Южные и Антарктические территории","Franska sydterritorierna","Fransız Güney ve Antarktika Toprakları","Vùng đất phía Nam và châu Nam Cực thuộc Pháp","法属南部领地"
"Q333946","","","نهر سياتشن الجليدي","সিয়াচেন হিমবাহ","Siachen-Gletscher","Siachen Glacier","Glaciar de Siachen","Glacier de Siachen","Παγετώνας Σιατσέν","सियाचीन","Siachen-gleccser","Siachen Glacier","ghiacciaio Siachen","シアチェン氷河","시아첸 빙하","Siachengletsjer","Lodowiec Siachen","Glaciar de Siachen","Сиачен","Siachen Glaciären","Siachen Buzulu","Sông băng Siachen","锡亚琴冰川"
"Q165413","","73127","بايكونور","বাইকুনোর","Baikonur","Baikonur","Baikonur","Baïkonour","Μπαϊκονούρ","बायकोनूर","Bajkonur","Baykonur","Bayqoñyr","バイコヌール","바이코누르","Bajkonoer","Bajkonur","Baikonur","Байконур","Bajkonur","Baykonur","Baikonur","拜科努爾"
"Q574","","1180069","تيمور الشرقية","পূর্ব তিমুর","Osttimor","East Timor","Timor Oriental","Timor oriental","Ανατολικό Τιμόρ","पूर्वी तिमोर","Kelet-Timor","Timor Leste","Timor Est","東ティモール","동티모르","Oost-Timor","Timor Wschodni","Timor-Leste","Восточный Тимор","Östtimor","Doğu Timor","Đông Timor","东帝汶"
"Q657","","12825314","تشاد","চাদ","Tschad","Chad","Chad","Tchad","Τσαντ","चाड","Csád","Chad","Ciad","チャド","차드","Tsjaad","Czad","Chade","Чад","Tchad","Çad","Tchad","乍得"
"Q668","","1339180127","الهند","ভারত","Indien","India","India","Inde","Ινδία","भारत","India","India","India","インド","인도","India","Indie","Índia","Индия","Indien","Hindistan","Ấn Độ","印度"
"Q664","","4793700","نيوزيلندا","নিউজিল্যান্ড","Neuseeland","New Zealand","Nueva Zelanda","Nouvelle-Zélande","Νέα Ζηλανδία","न्यूज़ीलैण्ड","Új-Zéland","Selandia Baru","Nuova Zelanda","ニュージーランド","뉴질랜드","Nieuw-Zeeland","Nowa Zelandia","Nova Zelândia","Новая Зеландия","Nya Zeeland","Yeni Zelanda","New Zealand","新西兰"
"Q691","","7321262","بابوا غينيا الجديدة","পাপুয়া নিউগিনি","Papua-Neuguinea","Papua New Guinea","Papúa Nueva Guinea","Papouasie-Nouvelle-Guinée","Παπούα Νέα Γουινέα","पापुआ न्यू गिनी","Pápua Új-Guinea","Papua Nugini","Papua Nuova Guinea","パプアニューギニア","파푸아뉴기니","Papoea-Nieuw-Guinea","Papua-Nowa Gwinea","Papua-Nova Guiné","Папуа-Новая Гвинея","Papua Nya Guinea","Papua Yeni Gine","Papua New Guinea","巴布亚新几内亚"
"Q709","","52634","جزر مارشال","মার্শাল দ্বীপপুঞ্জ","Marshallinseln","Marshall Islands","Islas Marshall","îles Marshall","Νησιά Μάρσαλ","मार्शल द्वीपसमूह","Marshall-szigetek","Kepulauan Marshall","Isole Marshall","マーシャル諸島","마셜 제도","Marshalleilanden","Wyspy Marshalla","Ilhas Marshall","Маршалловы Острова","Marshallöarna","Marshall Adaları","Quần đảo Marshall","馬紹爾群島"
"Q710","","102351","كيريباتي","কিরিবাস","Kiribati","Kiribati","Kiribati","Kiribati","Κιριμπάτι","किरिबाती","Kiribati","Kiribati","Kiribati","キリバス","키리바시","Kiribati","Kiribati","Kiribati","Кирибати","Kiribati","Kiribati","Kiribati","吉里巴斯"
